issue_year,n_loans,event_rate,median_time_months
2007,603,0.2620232172470978,32.98291721419185
2008,2390,0.20627615062761506,32.03022339027595
2009,5265,0.1342830009496676,30.97897503285151
2010,12511,0.13835824474462474,32.98291721419185
2011,21683,0.15030207997048378,31.99737187910644
2012,53306,0.16103252917120023,29.00788436268068
2013,134699,0.15539833257856406,27.95663600525624
2014,221293,0.18488158233654026,25.03285151116951
2015,372025,0.20154559505409583,24.014454664914584
2016,271641,0.24355307188531922,16.95137976346912
2017,155775,0.22973519499277806,9.986859395532194
2018,43959,0.14688687185786756,4.92772667542707
